year,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America
1960,156.5671,1456.4816,35.8979,3922.7753,90.2757,3143.849,100.7792,199.1405
1961,161.9942,1308.5445,37.9882,4057.4129,94.4839,3136.9512,103.4242,201.7684
1962,166.3348,1244.0262,44.5541,4283.7174,109.2953,3255.033,106.9597,215.6482
1963,176.3347,1311.4921,38.2187,4585.4915,123.5931,3393.5917,114.1767,219.4071
1964,193.6392,1371.7577,45.139,4794.3378,144.7691,3564.8958,123.7227,230.1879
1965,213.6343,1488.0717,44.7977,4947.2319,172.7951,3715.6623,136.3552,240.1431
1966,221.082,1608.2197,44.6652,5096.0203,198.9509,3899.5305,136.3555,252.0386
1967,237.045,1631.1049,49.4872,5209.2802,205.5389,4065.4097,144.9655,267.3749
1968,257.2821,1792.5359,50.9675,5452.9889,235.9571,4226.0372,150.5822,287.6522
1969,277.9158,2031.256,56.737,5755.4433,268.4628,4431.2377,158.7403,311.2796
1970,302.6238,2418.2449,67.2368,6044.8403,285.3601,4781.0464,165.0744,337.8684
1971,331.881,2629.7193,71.4718,6262.2173,334.432,4830.3005,171.2506,346.5583
1972,351.9046,2777.662,75.2083,6487.483,360.8376,5072.1412,176.401,362.5493
1973,378.0577,2931.4241,85.7745,6789.9075,428.5075,5288.3858,192.8524,392.6251
1974,388.4723,2977.9419,84.9638,6807.2421,443.7245,5137.9109,195.0708,416.4375
1975,387.3858,3158.2496,88.3095,6831.222,434.4544,4962.2717,197.8419,411.8403
1976,420.2793,3317.6948,103.7271,7222.0892,508.0189,5190.1554,196.9202,419.0932
1977,433.1199,3537.4895,100.4534,7268.7865,534.301,5336.3324,211.5987,434.4707
1978,462.6281,3716.7716,97.6052,7502.98,536.2678,5521.0617,222.93,460.8445
1979,499.1755,3857.4507,101.2209,7702.4523,570.0279,5576.6187,224.6978,493.5932
1980,535.8205,3873.8563,100.3115,7701.6849,554.4297,5427.952,241.684,507.7743
1981,548.7361,3851.6003,93.9513,7422.0289,551.6453,5244.3331,250.1542,488.6943
1982,571.892,3989.2475,96.0496,7362.6309,563.858,5020.9641,255.2012,489.9967
1983,594.7082,4142.8413,86.2803,7371.5139,594.0888,5022.2884,245.7059,485.1803
1984,649.4598,4386.7796,95.1272,7416.7467,622.5273,5170.8316,258.4666,491.3077
1985,665.8779,4637.764,100.9932,7739.2437,670.8919,5194.0673,266.0608,501.4363
1986,689.8232,4809.9074,86.1347,7756.0273,713.5965,5186.4452,265.8507,529.4953
1987,689.8373,5021.7558,91.0826,7773.0651,729.6133,5418.2359,283.1329,556.762
1988,724.9327,5422.3478,91.0296,7820.2206,777.1428,5647.6598,289.5628,579.6901
1989,698.0813,5594.8676,96.5421,7796.3192,821.6831,5771.9693,306.3652,579.2411
1990,657.0355,5776.9236,95.6962,8015.1841,821.7652,5901.1636,307.2883,582.7832
1991,686.0245,6002.1026,93.6341,7719.8678,915.5686,5854.6824,309.4573,589.2182
1992,668.3212,6190.1337,90.8903,7089.8616,989.1552,5974.5797,316.7111,598.5672
1993,708.8922,6438.1621,91.5469,6802.7213,1077.7046,6086.4272,320.9176,633.2602
1994,719.5232,6719.9818,96.5463,6449.0293,1125.8343,6208.5754,326.0381,651.6532
1995,771.4582,7087.7044,105.4976,6433.5398,1075.4966,6262.9277,337.6712,684.1188
1996,781.9481,7396.5489,112.6792,6479.8193,1118.843,6480.934,346.1123,716.2835
1997,811.6997,7519.4095,113.4082,6279.955,1102.2759,6595.4315,356.1922,757.2428
1998,835.6021,7210.6629,112.5206,6249.3627,1146.3884,6671.765,368.6393,811.0217
1999,827.8049,7364.6697,119.4951,6161.3643,1238.5825,6769.4041,379.9387,826.7689
2000,888.5012,7669.9827,129.7872,6164.8539,1363.9907,6965.3819,387.2042,806.5056
2001,882.1393,7801.7891,135.4018,6297.7105,1383.5678,6875.246,396.8858,817.8995
2002,887.4693,8285.8445,140.1832,6257.2846,1401.3711,6925.377,401.9613,828.0507
2003,963.5915,9082.1838,145.5374,6397.9312,1492.9871,7016.9353,411.758,831.0895
2004,1030.3749,9924.7721,144.9777,6426.5366,1623.6496,7131.4145,424.905,839.7614
2005,1048.2372,10679.0064,152.8655,6416.1027,1688.2002,7172.0784,429.9473,879.646
2006,1088.0182,11387.7649,161.9427,6512.4998,1805.3604,7098.4536,436.028,897.4498
2007,1130.7559,12113.4804,167.253,6461.0501,1802.238,7203.1106,443.0949,916.0402
2008,1181.1524,12823.4034,166.4315,6389.732,1938.1231,6997.4155,448.3763,989.0451
2009,1192.3554,13327.4474,164.3572,5882.2641,2015.2994,6513.1601,448.9029,973.9335
2010,1216.3172,14257.9431,172.2961,6107.1334,2094.9103,6721.0439,448.2367,1058.3829
2011,1246.6459,15431.145,170.3811,6030.9099,2157.1189,6624.2008,445.2446,1062.0002
2012,1256.714,15932.6492,169.3451,5973.727,2352.2203,6438.8719,449.6779,1124.7479
2013,1273.169,16063.7899,171.3999,5820.1846,2321.4968,6591.011,440.5854,1165.5649
2014,1361.1172,16261.9118,172.3113,5594.8883,2447.4449,6631.1772,437.5308,1197.5162
2015,1330.2257,16412.8229,179.9102,5600.9822,2454.5041,6482.2834,447.408,1170.8908
2016,1354.9499,16571.2396,178.5747,5595.4067,2526.4096,6356.7412,456.9353,1134.385
2017,1370.1292,16892.6385,177.8014,5632.9672,2587.8,6335.2582,462.8797,1125.5205
2018,1400.83,17446.0264,182.4378,5627.102,2635.9124,6462.6019,465.1759,1112.934
