warming_degrees,probability,budget_gt
1.27,33,290
1.37,33,530
1.47,33,770
1.5,33,840
1.57,33,1010
1.6,33,1080
1.67,33,1240
1.75,33,1440
1.77,33,1480
1.87,33,1720
1.97,33,1960
2,33,2030
2.07,33,2200
2.1,33,2270
2.17,33,2440
1.27,50,160
1.37,50,350
1.47,50,530
1.5,50,580
1.57,50,710
1.6,50,770
1.67,50,900
1.75,50,1040
1.77,50,1080
1.87,50,1260
1.97,50,1450
2,50,1500
2.07,50,1630
2.1,50,1690
2.17,50,1820
1.27,66,80
1.37,66,230
1.47,66,380
1.5,66,420
1.57,66,530
1.6,66,570
1.67,66,680
1.75,66,800
1.77,66,830
1.87,66,980
1.97,66,1130
2,66,1170
2.07,66,1280
2.1,66,1320
2.17,66,1430
